Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Egypt, Arab Rep.",EGY,GNI (current US$),NY.GNP.MKTP.CD,1.00306E+11,98220108710,88511183979,83379903947,79334485289,89431925237,1.08015E+11,1.31656E+11,1.64178E+11,1.89136E+11,2.14524E+11,2.29952E+11,2.72893E+11,2.8118E+11,2.98267E+11,3.26997E+11,3.28456E+11,2.30801E+11,2.44615E+11,
Euro area,EMU,GNI (current US$),NY.GNP.MKTP.CD,6.47484E+12,6.56893E+12,7.12082E+12,8.8027E+12,1.01446E+13,1.05248E+13,1.12165E+13,1.28686E+13,1.40472E+13,1.29266E+13,1.26787E+13,1.36962E+13,1.27256E+13,1.3288E+13,1.35678E+13,1.16939E+13,1.20181E+13,1.26907E+13,1.37465E+13,
Eritrea,ERI,GNI (current US$),NY.GNP.MKTP.CD,706846472.7,750010831.6,723218652.8,860583135.8,1093759652,1089003670,1202459441,1310746758,1368434686,1840533600,2097411538,2584193372,,,,,,,,
Spain,ESP,GNI (current US$),NY.GNP.MKTP.CD,5.92609E+11,6.18605E+11,6.97404E+11,8.98061E+11,1.05714E+12,1.13736E+12,1.23605E+12,1.43601E+12,1.58011E+12,1.45714E+12,1.40002E+12,1.45268E+12,1.31422E+12,1.34571E+12,1.36438E+12,1.19485E+12,1.23512E+12,1.30901E+12,1.42223E+12,
Estonia,EST,GNI (current US$),NY.GNP.MKTP.CD,5472116097,5947902515,6978783272,9301313573,11465094534,13457655515,16082181533,20706692581,22921927640,19054459572,18457311665,22009014212,22114662087,24557491226,25858836652,22400708981,23442894357,26085606572,29873606583,
Ethiopia,ETH,GNI (current US$),NY.GNP.MKTP.CD,8182263337,8180069454,7797207616,8557581132,10067656709,12365354408,15242461911,19721806402,27086850119,32395738209,29825574928,31883271774,43214529006,47541429851,55459432981,64326834730,74053937525,81274827449,83805991987,
European Union,EUU,GNI (current US$),NY.GNP.MKTP.CD,7.244E+12,7.35566E+12,7.99276E+12,9.86058E+12,1.13783E+13,1.18929E+13,1.27266E+13,1.46829E+13,1.61596E+13,1.47224E+13,1.45654E+13,1.5783E+13,1.46987E+13,1.53734E+13,1.56896E+13,1.35396E+13,1.39042E+13,1.47397E+13,1.59756E+13,
Fragile and conflict affected situations,FCS,GNI (current US$),NY.GNP.MKTP.CD,3.7033E+11,3.7076E+11,3.64959E+11,3.84606E+11,4.81232E+11,6.06359E+11,7.74224E+11,9.41453E+11,1.22116E+12,1.14389E+12,1.37246E+12,1.38412E+12,1.60643E+12,1.65864E+12,1.86922E+12,1.65607E+12,1.53115E+12,1.59955E+12,1.62931E+12,
Finland,FIN,GNI (current US$),NY.GNP.MKTP.CD,1.24924E+11,1.29374E+11,1.40162E+11,1.70265E+11,1.98504E+11,2.05663E+11,2.18881E+11,2.56801E+11,2.85031E+11,2.55632E+11,2.52405E+11,2.76297E+11,2.59513E+11,2.72399E+11,2.77245E+11,2.36891E+11,2.4179E+11,2.54474E+11,2.77673E+11,
Fiji,FJI,GNI (current US$),NY.GNP.MKTP.CD,1717371042,1646178073,1857506973,2316937968,2727795730,3050072147,2981842652,3329491710,3436092991,2859158664,3043130949,3660439438,3825353372,4108178560,4631573805,4477216962,4720961846,5027118677,5161041157,
France,FRA,GNI (current US$),NY.GNP.MKTP.CD,1.38377E+12,1.40128E+12,1.50985E+12,1.86491E+12,2.14503E+12,2.23373E+12,2.36498E+12,2.71E+12,2.98196E+12,2.75209E+12,2.70378E+12,2.93748E+12,2.74251E+12,2.87404E+12,2.91398E+12,2.49086E+12,2.52356E+12,2.6479E+12,2.84007E+12,
Faroe Islands,FRO,GNI (current US$),NY.GNP.MKTP.CD,1099664733,1178293363,1302696746,1548916921,1754051844,1788657473,2051826192,2358928670,2447853122,2216512153,2350687221,2626036098,2492533448,2773943700,2955634744,2587761411,,,,
"Micronesia, Fed. Sts.",FSM,GNI (current US$),NY.GNP.MKTP.CD,239347523.5,246016749.2,246760867.6,249179310.5,247072643.6,258632938,262084607.3,267150629,270372260.4,296756763.3,307507217.8,320855779.8,342609621.5,342707921.2,344654331.6,375852015.1,387000173.1,416554704.8,412197418.6,
Gabon,GAB,GNI (current US$),NY.GNP.MKTP.CD,4289132939,4389710772,4831625557,5784172857,6565102763,8621382032,8959012611,10610543021,13352644553,10693222146,12472296425,15690664159,15457855675,15886456036,17233295039,13183416155,12926093679,13951181960,15746850107,
United Kingdom,GBR,GNI (current US$),NY.GNP.MKTP.CD,1.66406E+12,1.65206E+12,1.8075E+12,2.07919E+12,2.44207E+12,2.57294E+12,2.71642E+12,3.08626E+12,2.89559E+12,2.39294E+12,2.47699E+12,2.66989E+12,2.67679E+12,2.72921E+12,3.00124E+12,2.86159E+12,2.62957E+12,2.63444E+12,2.81681E+12,
Georgia,GEO,GNI (current US$),NY.GNP.MKTP.CD,3174937619,3251777762,3407318623,4004758121,5203846567,6472967783,7908682543,10212803292,12622807620,10649227357,11884077933,14685100919,16342038333,16884896657,17475308490,14570254263,14428668864,15424959912,16862641011,
Ghana,GHA,GNI (current US$),NY.GNP.MKTP.CD,4836061112,5206827726,6036889828,7467434241,8683188883,10600650557,20281934315,24618642536,28410855657,25883819208,31640997973,38336161728,39809765731,61925823039,51862824540,48529901799,53961581129,57430377373,64270236560,
Gibraltar,GIB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,GNI (current US$),NY.GNP.MKTP.CD,2922237098,2746252750,2917012439,3200990696,3395183789,2657936712,4179199243,6218767656,6872979194,6548704567,6776357857,6651747174,7516065254,7971453845,8494333615,8650959121,8501398552,10274041350,10725365012,
"Gambia, The",GMB,GNI (current US$),NY.GNP.MKTP.CD,752681081.7,656184060.9,545288099.1,464321035.4,941271640.8,1005256868,1029031897,1253851721,1536174172,1422147063,1513386209,1377827103,1385746819,1345938956,1200490602,1345126869,1439755923,1476654959,1603623684,
Guinea-Bissau,GNB,GNI (current US$),NY.GNP.MKTP.CD,357773145,376388143.3,407103018.4,465381728.1,520827023.6,575363945.8,586252855.2,692477923.8,851100420.4,816595038.4,845414290.8,1104814496,994713353.3,1025761370,1090847650,1073379758,1207921291,1349590591,1456101701,
Equatorial Guinea,GNQ,GNI (current US$),NY.GNP.MKTP.CD,675806916.3,587616433.7,821380430.5,924205363.8,1481460301,4173013695,7939532609,10450746474,14636832123,9938850407,9578455128,13819220310,14844233177,15003862699,14796387635,9945017664,8709938548,8983531884,10026979628,
Greece,GRC,GNI (current US$),NY.GNP.MKTP.CD,1.31026E+11,1.37232E+11,1.53798E+11,2.01348E+11,2.37702E+11,2.48174E+11,2.68246E+11,3.10292E+11,3.43903E+11,3.22675E+11,2.93229E+11,2.7994E+11,2.47301E+11,2.39573E+11,2.38635E+11,1.96862E+11,1.9523E+11,2.0348E+11,2.18584E+11,
Grenada,GRD,GNI (current US$),NY.GNP.MKTP.CD,486296222.2,478999740.7,492740296.3,540525814.8,533925222.2,667088148.1,669815814.8,717591481.5,783264333.3,708231333.3,731135629.6,746883222.2,765599963,813021518.5,828656703.7,882768481.5,964566111.1,1022377444,1074721815,
Greenland,GRL,GNI (current US$),NY.GNP.MKTP.CD,1043287847,1057096170,1138485313,1389711128,1599873145,1662192133,1657458869,2042180080,,,,,,,,,,,,
Guatemala,GTM,GNI (current US$),NY.GNP.MKTP.CD,19079227159,18618372104,20458031815,21599569322,23555175996,26726377225,29550849362,33270407086,38295866706,36771718425,40239694495,46162991921,49273207746,52786846693,57314398179,62368886137,67155864998,74256259054,77082694755,
Guam,GUM,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,GNI (current US$),NY.GNP.MKTP.CD,668697606.8,660857203.3,671139695.3,700124769,755942664.8,804427767.4,1502374453,1775901259,1931651032,2078073912,2260453687,2566734702,2860317865,2959084227,3104298535,3221917415,3458017764,3472497981,3779697255,
High income,HIC,GNI (current US$),NY.GNP.MKTP.CD,2.77491E+13,2.75009E+13,2.85769E+13,3.20076E+13,3.56863E+13,3.77847E+13,4.00448E+13,4.35121E+13,4.60044E+13,4.32585E+13,4.5575E+13,4.935E+13,4.95872E+13,5.01099E+13,5.13135E+13,4.84239E+13,4.92941E+13,5.15087E+13,5.4634E+13,
